Month,"Sales (Inc Tax) 2018","Sales (Ex Tax) 2018","Orders 2018","Products 2018","Sales (Inc Tax) 2017","Sales (Ex Tax) 2017","Orders 2017","Products 2017"
JAN,0.00,0.00,0,0,0.00,0.00,0,0
FEB,652640.00,652560.00,4,5,0.00,0.00,0,0
MAR,0.00,0.00,0,0,0.00,0.00,0,0
APR,0.00,0.00,0,0,0.00,0.00,0,0
MAY,0.00,0.00,0,0,0.00,0.00,0,0
JUN,0.00,0.00,0,0,0.00,0.00,0,0
JUL,0.00,0.00,0,0,0.00,0.00,0,0
AUG,0.00,0.00,0,0,0.00,0.00,0,0
SEP,0.00,0.00,0,0,2000.00,2000.00,2,1
OCT,0.00,0.00,0,0,0.00,0.00,0,0
NOV,0.00,0.00,0,0,0.00,0.00,0,0
DEC,0.00,0.00,0,0,2900.00,2900.00,2,1
Total,"652,640.00","652,560.00",4,5,"4,900.00","4,900.00",4900,2
