Month,"Sales (Inc Tax) 2018","Sales (Ex Tax) 2018","Orders 2018","Products 2018","Sales (Inc Tax) 2017","Sales (Ex Tax) 2017","Orders 2017","Products 2017"
JAN,0.00,0.00,0,0,0.00,0.00,0,0
FEB,0.00,0.00,0,0,0.00,0.00,0,0
MAR,0.00,0.00,0,0,0.00,0.00,0,0
APR,0.00,0.00,0,0,0.00,0.00,0,0
MAY,0.00,0.00,0,0,0.00,0.00,0,0
JUN,0.00,0.00,0,0,0.00,0.00,0,0
JUL,0.00,0.00,0,0,0.00,0.00,0,0
AUG,0.00,0.00,0,0,0.00,0.00,0,0
SEP,0.00,0.00,0,0,0.00,0.00,0,0
OCT,0.00,0.00,0,0,0.00,0.00,0,0
NOV,0.00,0.00,0,0,0.00,0.00,0,0
DEC,0.00,0.00,0,0,0.00,0.00,0,0
Total,0.00,0.00,0,0,0.00,0.00,0,0
